Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1870-11,-0.2658,1870-11-01,11,Post-Monsoon,0.3085666759079567
gcag,1870-12,-0.6664,1870-12-01,12,Winter,0.14990692700701017
gcag,1871-01,-0.5583,1871-01-01,1,Winter,0.192720503782328
gcag,1871-02,-0.6721,1871-02-01,2,Winter,0.14764941185789535
gcag,1871-03,-0.1709,1871-03-01,3,Summer,0.34615232286427183
gcag,1871-04,-0.2219,1871-04-01,4,Summer,0.32595350310903404
gcag,1871-05,-0.3622,1871-05-01,5,Summer,0.27038694601766405
gcag,1871-06,-0.2864,1871-06-01,6,Monsoon,0.30040793694799794
gcag,1871-07,-0.0824,1871-07-01,7,Monsoon,0.3812032159689493
gcag,1871-08,-0.3224,1871-08-01,8,Monsoon,0.28614994653253595
gcag,1871-09,-0.3611,1871-09-01,9,Post-Monsoon,0.2708226068359143
gcag,1871-10,-0.3733,1871-10-01,10,Post-Monsoon,0.26599073230623
gcag,1871-11,-0.5227,1871-11-01,11,Post-Monsoon,0.20682007208206263
gcag,1871-12,-0.489,1871-12-01,12,Winter,0.22016713533209237
gcag,1872-01,-0.5988,1872-01-01,1,Winter,0.17668026456493327
gcag,1872-02,-0.6208,1872-02-01,2,Winter,0.1679670481999287
gcag,1872-03,-0.5237,1872-03-01,3,Summer,0.20642401679274425
gcag,1872-04,-0.3854,1872-04-01,4,Summer,0.26119846330547747
gcag,1872-05,-0.1415,1872-05-01,5,Summer,0.3577963483702325
gcag,1872-06,-0.2794,1872-06-01,6,Monsoon,0.3031803239732267
gcag,1872-07,-0.1463,1872-07-01,7,Monsoon,0.35589528298150425
gcag,1872-08,0.0086,1872-08-01,8,Monsoon,0.41724424729692267
gcag,1872-09,-0.1765,1872-09-01,9,Post-Monsoon,0.3439344132440889
gcag,1872-10,-0.2035,1872-10-01,10,Post-Monsoon,0.33324092043249237
gcag,1872-11,-0.322,1872-11-01,11,Post-Monsoon,0.28630836864826326
gcag,1872-12,-0.548,1872-12-01,12,Winter,0.1967998732623074
gcag,1873-01,-0.2617,1873-01-01,1,Winter,0.31019050259416214
gcag,1873-02,-0.2825,1873-02-01,2,Winter,0.3019525525763397
gcag,1873-03,-0.4087,1873-03-01,3,Summer,0.251970375064359
gcag,1873-04,-0.4806,1873-04-01,4,Summer,0.2234939997623668
gcag,1873-05,-0.3509,1873-05-01,5,Summer,0.27486237078696185
gcag,1873-06,-0.3205,1873-06-01,6,Monsoon,0.28690245158224087
gcag,1873-07,-0.1757,1873-07-01,7,Monsoon,0.34425125747554364
gcag,1873-08,-0.2278,1873-08-01,8,Monsoon,0.32361677690205554
gcag,1873-09,-0.4053,1873-09-01,9,Post-Monsoon,0.2533169630480415
gcag,1873-10,-0.3906,1873-10-01,10,Post-Monsoon,0.2591389758010218
gcag,1873-11,-0.4633,1873-11-01,11,Post-Monsoon,0.23034575626757495
gcag,1873-12,-0.3279,1873-12-01,12,Winter,0.28397164244128476
gcag,1874-01,-0.1985,1874-01-01,1,Winter,0.33522119687908436
gcag,1874-02,-0.4384,1874-02-01,2,Winter,0.24020753297160283
gcag,1874-03,-0.6729,1874-03-01,3,Summer,0.14733256762644062
gcag,1874-04,-0.437,1874-04-01,4,Summer,0.24076201037664857
gcag,1874-05,-0.334,1874-05-01,5,Summer,0.2815557051764426
gcag,1874-06,-0.5658,1874-06-01,6,Monsoon,0.1897500891124401
gcag,1874-07,-0.1671,1874-07-01,7,Monsoon,0.34765733296368173
gcag,1874-08,-0.2961,1874-08-01,8,Monsoon,0.29656620064160955
gcag,1874-09,-0.1682,1874-09-01,9,Post-Monsoon,0.34722167214543154
gcag,1874-10,-0.4712,1874-10-01,10,Post-Monsoon,0.22721691948195966
gcag,1874-11,-0.4177,1874-11-01,11,Post-Monsoon,0.2484058774604935
gcag,1874-12,-0.312,1874-12-01,12,Winter,0.2902689215414472
gcag,1875-01,-0.5711,1875-01-01,1,Winter,0.1876509960790526
gcag,1875-02,-0.4793,1875-02-01,2,Winter,0.2240088716384807
gcag,1875-03,-0.5643,1875-03-01,3,Summer,0.19034417204641768
gcag,1875-04,-0.3581,1875-04-01,4,Summer,0.2720107727038695
gcag,1875-05,-0.2728,1875-05-01,5,Summer,0.3057942888827281
gcag,1875-06,-0.28,1875-06-01,6,Monsoon,0.30294269079963565
gcag,1875-07,-0.1821,1875-07-01,7,Monsoon,0.3417165036239059
gcag,1875-08,-0.2465,1875-08-01,8,Monsoon,0.3162105429918017
gcag,1875-09,-0.2343,1875-09-01,9,Post-Monsoon,0.32104241752148605
gcag,1875-10,-0.2332,1875-10-01,10,Post-Monsoon,0.32147807833973624
gcag,1875-11,-0.5092,1875-11-01,11,Post-Monsoon,0.21216681848786093
gcag,1875-12,-0.5767,1875-12-01,12,Winter,0.18543308645886966
gcag,1876-01,-0.5137,1876-01-01,1,Winter,0.21038456968592814
gcag,1876-02,-0.3374,1876-02-01,2,Winter,0.28020911719276015
gcag,1876-03,-0.3623,1876-03-01,3,Summer,0.2703473404887322
gcag,1876-04,-0.4243,1876-04-01,4,Summer,0.24579191255099211
gcag,1876-05,-0.5904,1876-05-01,5,Summer,0.1800071289952077
gcag,1876-06,-0.3523,1876-06-01,6,Monsoon,0.2743078933819161
gcag,1876-07,-0.2137,1876-07-01,7,Monsoon,0.3292011564814448
gcag,1876-08,-0.3272,1876-08-01,8,Monsoon,0.2842488811438077
gcag,1876-09,-0.4178,1876-09-01,9,Post-Monsoon,0.24836627193156166
gcag,1876-10,-0.2998,1876-10-01,10,Post-Monsoon,0.2951007960711315
gcag,1876-11,-0.6068,1876-11-01,11,Post-Monsoon,0.17351182225038614
gcag,1876-12,-0.6434,1876-12-01,12,Winter,0.15901619866133312
gcag,1877-01,-0.4111,1877-01-01,1,Winter,0.25101984236999486
gcag,1877-02,-0.2093,1877-02-01,2,Winter,0.3309437997544457
